title,price,image
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/ef336a8adba4f5dbeab6f9c53f46d40b-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 8GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",167172 Сом,https://enter.kg//images/stories/virtuemart/product/777777_8336.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/b753476ba38735eb20da64fb3674e4dc-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",167172 Сом,https://enter.kg//images/stories/virtuemart/product/13_2511.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/44334ede6b91f2e506ed39047ea7ac27-detail"">Lenovo Legion Pro 5 16IRX8 Onyx Grey Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 300nits 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",167172 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_8518.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/46743b3e008b2471822d3f9349a41d96-detail"">Lenovo Legion Pro 5 16IRX8 Onyx Grey Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 300nits 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",167677 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_8790.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/5b80ad6f1652536cd43159673b51ac22-detail"">Lenovo Legion 5 15ARH7H Storm Grey Ryzen 7 6800H (8 ядер/16 потоков, up to 4.7Ghz), 64GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 3060 6GB GDDR6 192bit, 15.6"" IPS WQHD (2560x1440) 300nits 165Hz, WiFi 6, BT 5.0, HD WebCam, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",167980 Сом,https://enter.kg//images/stories/virtuemart/product/2_2609_7178.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/89fa55177a372d74a2d7515e5875e95e-detail"">Ноутбук Lenovo Legion 5 Pro 16ARH7H 82RG001LUS AMD Ryzen 7 6800H (3.20-4.70GHz), 16GB DDR5, 512GB SSD, NVIDIA RTX 3070Ti 8GB GDDR6, 16""WQXGA (2560x1600) 165Hz IPS, WiFi ax, BT 5.1, HD WC, Win 11 Home, Backlit RGB Русская клавиатура, Storm Grey</a></span>",167980 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_8421.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/33d8c2bf52bf4d1b769636b7f25ed6c2-detail"">Lenovo LOQ 16IRH8 Storm Grey Intel Core i7-13620H (10 ядер/16 потоков, up to 4.9Ghz), 64GB DDR5, 2TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16"" WQXGA (2560x1600) IPS 350nits 165Hz, WiFi 6, BT 5.0, HD WebCam, Backlight Chiclet Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",168283 Сом,https://enter.kg//images/stories/virtuemart/product/13_8875_8896.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/66daeb6a7eb90b4310f07de37a9139b7-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 32GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",169192 Сом,https://enter.kg//images/stories/virtuemart/product/13_6983.jpg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/7386a3f4db824bf3358de6cf996c1f28-detail"">Acer Predator Helios 16 PH16-71 Abyssal Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 16GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",169596 Сом,https://enter.kg//images/stories/virtuemart/product/777777_1147.jpeg
"<span class=""prouct_name"" rel=""tooltip"" title=""""><a href=""/computers/noutbuki_bishkek/a236c05da2c8c049655d20e8b688a512-detail"">Acer Predator Helios Neo 16 PHN16-71 Obsidian Black Intel Core i7-13700HX (16 ядер/24 потока, up to 5.0Ghz), 24GB DDR5, 1TB M.2 NVMe™ PCIe® 3.0 SSD + 512GB M.2 NVMe™ PCIe® 3.0 SSD, NVIDIA® GeForce® RTX 4060 8GB GDDR6, 16.0"" IPS WQXGA (2560x1600) 165Hz, WiFi 6, BT 5.0, HD WebCam, 4 x USB 3.2, 2 x USB Type-C, RJ-45, Backlight RGB Keyboard, Eng-Rus Заводская клавиатура с подсветкой</a></span>",169697 Сом,https://enter.kg//images/stories/virtuemart/product/13_8941.jpg
